time,total,zones
20:02:02,0,"{1: 0, 2: 0, 3: 0}"
20:02:05,0,"{1: 0, 2: 0, 3: 0}"
20:02:06,0,"{1: 0, 2: 0, 3: 0}"
20:02:08,0,"{1: 0, 2: 0, 3: 0}"
20:02:09,0,"{1: 0, 2: 0, 3: 0}"
20:02:11,0,"{1: 0, 2: 0, 3: 0}"
20:02:12,0,"{1: 0, 2: 0, 3: 0}"
20:02:13,0,"{1: 0, 2: 0, 3: 0}"
20:02:14,0,"{1: 0, 2: 0, 3: 0}"
20:02:15,0,"{1: 0, 2: 0, 3: 0}"
20:02:17,0,"{1: 0, 2: 0, 3: 0}"
20:02:18,0,"{1: 0, 2: 0, 3: 0}"
20:02:19,0,"{1: 0, 2: 0, 3: 0}"
20:02:20,0,"{1: 0, 2: 0, 3: 0}"
20:02:21,0,"{1: 0, 2: 0, 3: 0}"
20:02:22,0,"{1: 0, 2: 0, 3: 0}"
20:02:23,0,"{1: 0, 2: 0, 3: 0}"
20:02:24,0,"{1: 0, 2: 0, 3: 0}"
20:02:25,0,"{1: 0, 2: 0, 3: 0}"
20:02:26,0,"{1: 0, 2: 0, 3: 0}"
20:02:27,0,"{1: 0, 2: 0, 3: 0}"
20:02:27,0,"{1: 0, 2: 0, 3: 0}"
20:02:28,0,"{1: 0, 2: 0, 3: 0}"
20:02:29,0,"{1: 0, 2: 0, 3: 0}"
20:02:30,0,"{1: 0, 2: 0, 3: 0}"
20:02:31,0,"{1: 0, 2: 0, 3: 0}"
20:02:32,0,"{1: 0, 2: 0, 3: 0}"
20:02:34,0,"{1: 0, 2: 0, 3: 0}"
20:02:35,0,"{1: 0, 2: 0, 3: 0}"
20:02:38,0,"{1: 0, 2: 0, 3: 0}"
20:02:40,0,"{1: 0, 2: 0, 3: 0}"
20:02:42,0,"{1: 0, 2: 0, 3: 0}"
20:02:43,0,"{1: 0, 2: 0, 3: 0}"
20:02:44,0,"{1: 0, 2: 0, 3: 0}"
20:02:47,0,"{1: 0, 2: 0, 3: 0}"
20:02:48,0,"{1: 0, 2: 0, 3: 0}"
20:02:49,0,"{1: 0, 2: 0, 3: 0}"
20:02:51,0,"{1: 0, 2: 0, 3: 0}"
20:02:54,0,"{1: 0, 2: 0, 3: 0}"
20:02:56,0,"{1: 0, 2: 0, 3: 0}"
20:02:58,0,"{1: 0, 2: 0, 3: 0}"
20:02:59,0,"{1: 0, 2: 0, 3: 0}"
20:03:03,0,"{1: 0, 2: 0, 3: 0}"
20:03:15,0,"{1: 0, 2: 0, 3: 0}"
20:03:18,0,"{1: 0, 2: 0, 3: 0}"
20:03:23,0,"{1: 0, 2: 0, 3: 0}"
20:03:34,0,"{1: 0, 2: 0, 3: 0}"
20:03:46,0,"{1: 0, 2: 0, 3: 0}"
20:04:02,0,"{1: 0, 2: 0, 3: 0}"
20:04:07,0,"{1: 0, 2: 0, 3: 0}"
