time,total,zones
18:10:10,0,"{1: 0, 2: 0, 3: 0}"
18:10:11,0,"{1: 0, 2: 0, 3: 0}"
18:10:12,0,"{1: 0, 2: 0, 3: 0}"
18:10:12,0,"{1: 0, 2: 0, 3: 0}"
18:10:13,0,"{1: 0, 2: 0, 3: 0}"
18:10:14,0,"{1: 0, 2: 0, 3: 0}"
18:10:15,0,"{1: 0, 2: 0, 3: 0}"
18:10:15,0,"{1: 0, 2: 0, 3: 0}"
18:10:16,0,"{1: 0, 2: 0, 3: 0}"
18:10:17,0,"{1: 0, 2: 0, 3: 0}"
18:10:17,0,"{1: 0, 2: 0, 3: 0}"
18:10:18,0,"{1: 0, 2: 0, 3: 0}"
18:10:19,0,"{1: 0, 2: 0, 3: 0}"
18:10:19,0,"{1: 0, 2: 0, 3: 0}"
18:10:20,0,"{1: 0, 2: 0, 3: 0}"
18:10:20,0,"{1: 0, 2: 0, 3: 0}"
18:10:21,0,"{1: 0, 2: 0, 3: 0}"
18:10:22,0,"{1: 0, 2: 0, 3: 0}"
18:10:23,0,"{1: 0, 2: 0, 3: 0}"
18:10:23,0,"{1: 0, 2: 0, 3: 0}"
18:10:24,0,"{1: 0, 2: 0, 3: 0}"
18:10:25,0,"{1: 0, 2: 0, 3: 0}"
18:10:26,0,"{1: 0, 2: 0, 3: 0}"
18:10:26,0,"{1: 0, 2: 0, 3: 0}"
18:10:27,0,"{1: 0, 2: 0, 3: 0}"
18:10:27,0,"{1: 0, 2: 0, 3: 0}"
18:10:28,0,"{1: 0, 2: 0, 3: 0}"
18:10:29,0,"{1: 0, 2: 0, 3: 0}"
18:10:29,0,"{1: 0, 2: 0, 3: 0}"
18:10:30,0,"{1: 0, 2: 0, 3: 0}"
18:10:31,0,"{1: 0, 2: 0, 3: 0}"
18:10:31,0,"{1: 0, 2: 0, 3: 0}"
18:10:32,0,"{1: 0, 2: 0, 3: 0}"
18:10:33,0,"{1: 0, 2: 0, 3: 0}"
18:10:34,0,"{1: 0, 2: 0, 3: 0}"
18:10:35,0,"{1: 0, 2: 0, 3: 0}"
18:10:35,0,"{1: 0, 2: 0, 3: 0}"
18:10:36,0,"{1: 0, 2: 0, 3: 0}"
18:10:37,0,"{1: 0, 2: 0, 3: 0}"
18:10:37,0,"{1: 0, 2: 0, 3: 0}"
18:10:38,0,"{1: 0, 2: 0, 3: 0}"
18:10:39,0,"{1: 0, 2: 0, 3: 0}"
18:10:40,0,"{1: 0, 2: 0, 3: 0}"
18:10:41,0,"{1: 0, 2: 0, 3: 0}"
18:10:42,0,"{1: 0, 2: 0, 3: 0}"
18:10:43,0,"{1: 0, 2: 0, 3: 0}"
18:10:43,0,"{1: 0, 2: 0, 3: 0}"
18:10:44,0,"{1: 0, 2: 0, 3: 0}"
18:10:45,0,"{1: 0, 2: 0, 3: 0}"
18:10:45,0,"{1: 0, 2: 0, 3: 0}"
18:10:46,0,"{1: 0, 2: 0, 3: 0}"
18:10:47,0,"{1: 0, 2: 0, 3: 0}"
18:10:47,0,"{1: 0, 2: 0, 3: 0}"
18:10:48,0,"{1: 0, 2: 0, 3: 0}"
18:10:49,0,"{1: 0, 2: 0, 3: 0}"
18:10:50,0,"{1: 0, 2: 0, 3: 0}"
